TF	target	importance
CD24	SCGB3A2	48.43031900425888
COX7C	SLIRP	44.13121178792745
HSPE1	SLIRP	38.01310782656518
SLIRP	COX7C	36.860229198109586
SCGB3A2	CD24	34.98877962418093
SCGB3A2	COX7C	33.747174791047094
SNRPN	SCGB3A2	32.994764521003546
SCGB3A2	SLIRP	32.86729703748201
SCGB3A2	SNRPN	28.933347473816866
HSPE1	COX7C	27.033138847184023
COX7C	SCGB3A2	26.87668617628559
NME2	COX7C	26.67565878738877
SCGB3A2	L1TD1	26.256953831456034
CD24	SNRPN	25.637919659108636
SLIRP	HSPE1	25.487260899453496
COX7C	NME2	24.62448906284792
CD24	UGP2	24.61259522784495
DNMT3B	L1TD1	24.368889937035032
CD24	COX7C	23.355063206722594
SLIRP	SCGB3A2	23.330624959375164
PTN	DNMT3B	22.792367327281873
TMSB4X	TMSB10	22.424050830049676
TXN	PRDX1	21.483545408758843
TXN	SLIRP	20.88783023393036
COX7C	PRDX1	20.642881131870105
CD24	HSPE1	20.338922731904912
COX7C	TMSB4X	19.970378401117234
COX7C	DNMT3B	19.910910415351367
COX7C	HSPE1	19.870775911680038
CD24	SLIRP	19.63387979538174
SNRPN	CD24	19.433371934901903
SCGB3A2	DNMT3B	19.41701221232136
SCGB3A2	HSPE1	19.361978512810378
CD24	FTL	19.199849529834353
CD24	L1TD1	19.167165751831142
TMSB10	TMSB4X	18.941486078079382
HSPE1	CD24	18.57377260326872
SCGB3A2	NME2	18.41118627146943
FTL	TMSB10	18.405118293931405
SCGB3A2	UGP2	18.168907014718023
COX7C	POMP	18.01208719832901
COX7C	TERF1	17.852805661127118
DNMT3B	FZD3	17.811082039950136
TXN	SCGB3A2	17.256837954310612
CD24	TXN	17.157740931350396
TMSB4X	FTL	17.150716291599426
HSPE1	TMSB4X	17.011350681094083
TMSB4X	HSPE1	16.941078965172103
CD24	TERF1	16.72470637050316
PRDX1	TXN	16.70321775287339
L1TD1	SNRPN	16.696469578594602
TMSB4X	COX7C	16.643353628632617
HSPE1	SCGB3A2	16.234875623156828
SCGB3A2	TXN	15.917079349025347
L1TD1	DNMT3B	15.454776114584066
SCGB3A2	PMAIP1	15.237711501795806
HSPE1	SNRPN	15.10411671748428
SCGB3A2	TMSB4X	15.003247882428155
SLIRP	TMSB4X	14.580427231974072
L1TD1	COX7C	14.52755841848081
TMSB4X	NME2	14.489482627514404
TMSB10	FTL	14.427992618387867
SCGB3A2	TERF1	14.351209086045703
CDH2	FZD3	14.282810157131763
POU5F1	DNMT3B	14.112558325451024
COX7C	TMSB10	14.061159243524086
SCGB3A2	POU5F1	13.879518587822579
ACTG1	L1TD1	13.796463627224187
SLIRP	TXN	13.721844792619681
DNMT3B	PTN	13.59177159136168
CD24	TMSB10	13.509964331611332
CD24	TMSB4X	13.395654970872853
SCGB3A2	FTL	13.23204490360447
L1TD1	SCGB3A2	13.202597179122508
FZD3	DNMT3B	13.164760384424811
UGP2	SCGB3A2	13.15208999285243
TMSB4X	SCGB3A2	13.144584130193138
PRDX1	COX7C	13.03079407077425
UGP2	TERF1	13.011472527899254
TERF1	SCGB3A2	12.95335769551327
PMAIP1	SCGB3A2	12.928252834714584
L1TD1	CD24	12.833383275350666
SNRPN	HSPE1	12.768840854873476
SNRPN	UGP2	12.561575996595993
CD24	POU5F1	12.53232417849228
