TF	target	importance
CD24	FTL	27.399482468842944
KRT18	TERF1	26.18780732646237
PRDX1	FTL	24.669800004033792
CD24	TERF1	21.65931279852426
PRDX1	APOE	19.24363062355655
FTL	KRT18	18.149465390935642
KRT18	FTL	17.969576715595753
FTL	PRDX1	16.39233150996922
FTL	TXN	14.194987635797265
L1TD1	FZD3	14.123266291291309
PRDX1	TERF1	14.002105379625727
CD24	TXN	13.889620164617561
FTL	TERF1	13.708495314356677
TERF1	FTL	13.544919850335669
FTL	DNMT3B	12.847491156432293
ONECUT2	STMN2	12.77959805592247
POU5F1	CD24	12.68547857058282
DNMT3B	FTL	12.6455073740264
CD24	PRDX1	12.644171672456558
APOE	FTL	12.5285673488377
PRDX1	CD24	12.320052811193086
SNRPN	TXN	12.15557630744459
TERF1	KRT18	12.06042910819076
MARCKS	APOE	11.920392903369088
MARCKS	TXN	11.823971255246066
FTL	POU5F1	11.524040443071101
TUBA1A	MARCKS	11.316806380882666
CD24	APOE	11.264887963823307
CD24	POU5F1	11.24007556333571
L1TD1	FTL	11.014247750767185
SNRPN	FZD3	10.98913009232317
KRT18	PRDX1	10.972354766981946
POU5F1	FTL	10.902320110111162
FTL	CD24	10.840152225143813
POU5F1	KRT18	10.727965613669907
FTL	MARCKS	10.6733018981449
MARCKS	UGP2	10.47728356038196
ACTG1	APOE	10.188991591513368
L1TD1	TERF1	10.120887808639088
DKK1	DPY19L4	10.093424931116395
FTL	APOE	10.063221097293377
POU5F1	MARCKS	9.916902990555618
TERF1	CD24	9.877856079271515
DNMT3B	APOE	9.802586683726952
DLK1	PABPC1	9.77402865986416
APOE	PRDX1	9.710681676147935
APOE	DNMT3B	9.653320710042651
ANXA2	FTL	9.56646068111977
FTL	SLIRP	9.48351926040508
CD24	KRT18	9.478619860858304
KRT18	TXN	9.473807871291106
MRM3	FHIT	9.406832197134756
DNMT3B	KRT18	9.305527740143633
CD24	UGP2	9.249149090110121
HSPE1	FTL	9.230467714568938
KRT18	POU5F1	8.988569316405817
SNUPN	FZD3	8.726775375202177
CD24	SLIRP	8.632541039239719
UGP2	DNMT3B	8.491116144400035
KRT18	MARCKS	8.402809370883062
POMP	SLIRP	8.31791840232221
HSPE1	PRDX1	8.30243984149843
POU5F1	TERF1	8.165485177750266
STMN2	ONECUT2	8.128833986187507
KRT18	DNMT3B	8.104343896410564
RELCH	CHCHD2	7.832031296672081
MARCKS	MIEF1	7.786951582797577
APOE	KRT18	7.71188168843314
SOX15	FZD3	7.616774889717423
WLS	MARCKS	7.595346382477125
KRT18	PTN	7.559173155243823
APOE	ACTG1	7.535172109708726
APOE	MARCKS	7.524690486328191
MARCKS	POU5F1	7.524003922118896
TDGF1	FTL	7.385821173057893
UGP2	POU5F1	7.253753239586108
KRT18	APOE	7.227800786391153
TERF1	APOE	7.224555688028118
TERF1	MARCKS	7.193342586198521
PTN	KRT18	7.164325511612118
MARCKS	TUBA1A	7.021784023124278
TXN	CD24	6.954786933011841
POU5F1	TXN	6.943862045563869
L1TD1	CD24	6.835017434166231
SSC4D	SLIRP	6.832509800250148
TXN	TERF1	6.825041059746351
FTL	L1TD1	6.815543976008883
STMN1	TMSB10	6.7914941713434676
TDGF1	SLIRP	6.7765658373045845
TMSB4X	FTL	6.716640590176462
CD24	L1TD1	6.661253376207393
PRDX1	MARCKS	6.656959263176718
MARCKS	FTL	6.650325758694769
ONECUT2	NME2	6.616713805227947
DNMT3B	UGP2	6.578120684918289
KRT18	CD24	6.51187561227288
TDGF1	TXN	6.488549722242774
HSPE1	TXN	6.353696602506648
PTN	POU5F1	6.287930933785334
NME2	HSPE1	6.224648802886432
